title,year,rating,rank,genres,plot,directors,actors,release_date,running_time_secs,image_url
Meet the Spartans,2008,2.6,2637,"['Comedy', 'War']",,"['Jason Friedberg', 'Aaron Seltzer']","['Sean Maguire', 'Kevin Sorbo', 'Carmen Electra']",2008-01-24,5160,http://ia.media-imdb.com/images/M/MV5BMjAxMDE3NDQwMF5BMl5BanBnXkFtZTcwMjA0MzU1MQ@@._V1_SX400_.jpg
Meeting Evil,2012,5.2,3498,"['Crime', 'Drama', 'Mystery', 'Thriller']","John is taken on a murder-fueled ride by a mysterious stranger that transforms the weak-willed, disillusioned husband and father into a desperate hero willing to go to any length to protect his family.",['Chris Fisher'],"['Luke Wilson', 'Samuel L. Jackson', 'Leslie Bibb']",2012-03-30,5340,http://ia.media-imdb.com/images/M/MV5BMTg4ODYyMzkwNl5BMl5BanBnXkFtZTcwODc2MzA1Nw@@._V1_SX400_.jpg
Megamind,2010,7.2,1468,"['Animation', 'Action', 'Comedy', 'Family', 'Sci-Fi']","The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",['Tom McGrath'],"['Will Ferrell', 'Jonah Hill', 'Brad Pitt']",2010-10-28,5700,http://ia.media-imdb.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX400_.jpg
Megan Is Missing,2011,5.3,3704,"['Crime', 'Drama', 'Horror', 'Thriller']","Fictional drama based on actual events, about 2 teen-age girls who encounter an internet predator.",['Michael Goi'],"['Amber Perkins', 'Rachel Quinn', 'Dean Waite']",2011-05-01,5340,http://ia.media-imdb.com/images/M/MV5BMTU0NzYxNjIzM15BMl5BanBnXkFtZTcwOTU0NDM1Mw@@._V1_SX400_.jpg
Melancholia,2011,7.1,454,"['Drama', 'Sci-Fi']",Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,['Lars von Trier'],"['Kirsten Dunst', 'Charlotte Gainsbourg', 'Kiefer Sutherland']",2011-05-18,7800,http://ia.media-imdb.com/images/M/MV5BMTk4NjM0MjI3MV5BMl5BanBnXkFtZTcwNjcxMDYzNg@@._V1_SX400_.jpg
Memento,2000,8.6,345,"['Mystery', 'Thriller']","A man, suffering from short-term memory loss, uses notes and tattoos to hunt for the man he thinks killed his wife.",['Christopher Nolan'],"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",2000-09-05,6780,http://ia.media-imdb.com/images/M/MV5BMTc4MjUxNDAwN15BMl5BanBnXkFtZTcwMDMwNDg3OA@@._V1_SX400_.jpg
Memoirs of a Geisha,2005,7.1,880,"['Drama', 'Romance']",Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,['Rob Marshall'],"['Ziyi Zhang', 'Ken Watanabe', 'Michelle Yeoh']",2005-11-29,8700,http://ia.media-imdb.com/images/M/MV5BMTYxMzM4NTEzOV5BMl5BanBnXkFtZTcwNDMwNjQzMw@@._V1_SX400_.jpg
Men in Black,1997,7.2,826,"['Comedy', 'Sci-Fi']",A streetwise NYPD detective joins a secret organization that polices extraterrestrial affairs on Earth.,['Barry Sonnenfeld'],"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino']",1997-07-02,5880,http://ia.media-imdb.com/images/M/MV5BNzA2MzI5Nzc0N15BMl5BanBnXkFtZTcwODE2NDU2MQ@@._V1_SX400_.jpg
Men in Black 3,2012,6.9,443,"['Action', 'Comedy', 'Sci-Fi']",Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,['Barry Sonnenfeld'],"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",2012-05-14,6360,http://ia.media-imdb.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_SX400_.jpg
Men in Black II,2002,5.9,1498,"['Action', 'Comedy', 'Sci-Fi']",Agent J needs help so he is sent to find Agent K and restore his memory.,['Barry Sonnenfeld'],"['Tommy Lee Jones', 'Will Smith', 'Rip Torn']",2002-07-03,5280,http://ia.media-imdb.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_SX400_.jpg
Men of Honor,2000,6.9,1732,"['Biography', 'Drama']","The story of Carl Brashear, the first African American, then also the first amputee, US Navy Diver and the man who trained him.",['George Tillman Jr.'],"['Cuba Gooding Jr.', 'Robert De Niro', 'Charlize Theron']",2000-09-14,7740,http://ia.media-imdb.com/images/M/MV5BMTAwODYxMzU4MjleQTJeQWpwZ15BbWU3MDIwODcwMjE@._V1_SX400_.jpg
Menace II Society,1993,7.3,3055,"['Crime', 'Drama']",A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,"['Albert Hughes', 'Allen Hughes']","['Tyrin Turner', 'Larenz Tate', 'June Kyoto Lu']",1993-05-26,5820,http://ia.media-imdb.com/images/M/MV5BMjA3NTcwMzUwOV5BMl5BanBnXkFtZTcwMjc1NTYyMQ@@._V1_SX400_.jpg
Mental,2012,5.8,2937,"['Comedy', 'Drama']","A charismatic, crazy hothead transforms a family's life when she becomes the nanny of five girls whose mother has cracked from her husband's political ambitions and his infidelity.",['P.J. Hogan'],"['Toni Collette', 'Anthony LaPaglia', 'Liev Schreiber']",2012-08-18,6960,http://ia.media-imdb.com/images/M/MV5BMTc1NjQ1OTA1NF5BMl5BanBnXkFtZTcwMTk0NzcwOQ@@._V1_SX400_.jpg
Mercury Rising,1998,5.9,3827,"['Action', 'Crime', 'Drama', 'Thriller']",Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.,['Harold Becker'],"['Bruce Willis', 'Miko Hughes', 'Alec Baldwin']",1998-04-01,6660,http://ia.media-imdb.com/images/M/MV5BMTQ4NzczMzU1OF5BMl5BanBnXkFtZTcwNzI3MTAzMQ@@._V1_SX400_.jpg
Mermaids,1990,6.4,2986,"['Comedy', 'Drama', 'Romance']","An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds.",['Richard Benjamin'],"['Cher', 'Bob Hoskins', 'Winona Ryder']",1990-12-14,6600,http://ia.media-imdb.com/images/M/MV5BNjg0MTE1NjUxOV5BMl5BanBnXkFtZTcwMzQxODI1NA@@._V1_SX400_.jpg
Message in a Bottle,1999,5.8,2753,"['Drama', 'Romance']","A woman discovers a tragic love letter in a bottle on a beach, and is determined to track down its author.",['Luis Mandoki'],"['Kevin Costner', 'Robin Wright', 'Paul Newman']",1999-02-12,7860,http://ia.media-imdb.com/images/M/MV5BMTQyMDMxMDkwNV5BMl5BanBnXkFtZTcwMDQ0NzcyMQ@@._V1_SX400_.jpg
Metallica Through the Never,2013,7.8,49,"['Action', 'Music']","Trip, a young roadie for Metallica, is sent on an urgent mission during the band's show. But what seems like a simple assignment turns into a surreal adventure.",['Nimród Antal'],"['Dane DeHaan', 'James Hetfield', 'Lars Ulrich']",2013-09-09,5640,http://ia.media-imdb.com/images/M/MV5BMjQwNjk5MTk4Ml5BMl5BanBnXkFtZTcwNTgwNDA5OQ@@._V1_SX400_.jpg
Metegol,2013,7.7,4162,"['Animation', 'Adventure', 'Romance', 'Sport']",A young man named Amadeo sets off on an unexpected adventure with the players of his beloved Foosball game.,['Juan José Campanella'],"['Rupert Grint', 'Anthony Head', 'Juan José Campanella']",2013-07-18,6360,http://ia.media-imdb.com/images/M/MV5BMTEzMjY1OTM5NjVeQTJeQWpwZ15BbWU3MDcyMjU2NTk@._V1_SX400_.jpg
Metro Manila,2013,7.1,3096,"['Action', 'Crime', 'Drama', 'Thriller']",,['Sean Ellis'],"['Jake Macapagal', 'Althea Vega', 'John Arcilla']",2013-01-20,6900,http://ia.media-imdb.com/images/M/MV5BNDc5MTE4MjcxMV5BMl5BanBnXkFtZTcwNDYzMDk3OA@@._V1_SX400_.jpg
Metropolis,1927,8.4,1591,"['Drama', 'Sci-Fi']","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",['Fritz Lang'],"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']",1927-01-10,9180,http://ia.media-imdb.com/images/M/MV5BNDAzNTkyODg1MF5BMl5BanBnXkFtZTgwMDA3NDkwMDE@._V1_SX400_.jpg
Miami Vice,2006,5.9,2539,"['Action', 'Crime', 'Drama', 'Thriller']","Based on the 1980s TV action/drama, this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined.",['Michael Mann'],"['Colin Farrell', 'Jamie Foxx', 'Li Gong']",2006-07-20,8040,http://ia.media-imdb.com/images/M/MV5BMTM4MDQ5MTkxMV5BMl5BanBnXkFtZTcwMTU4MzUzMQ@@._V1_SX400_.jpg
Michael,1996,5.5,4280,"['Comedy', 'Drama', 'Fantasy']",Two tabloid reporters checking out a report of the Archangel Michael living with an old woman find that it's true. But that's not the only surprise.,['Nora Ephron'],"['John Travolta', 'Andie MacDowell', 'William Hurt']",1996-12-25,6300,http://ia.media-imdb.com/images/M/MV5BMTgxMDYyODY4Ml5BMl5BanBnXkFtZTcwMjAwMTMyMQ@@._V1_SX400_.jpg
Michael Clayton,2007,7.3,1789,"['Crime', 'Drama', 'Mystery', 'Thriller']","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.",['Tony Gilroy'],"['George Clooney', 'Tilda Swinton', 'Tom Wilkinson']",2007-08-31,7140,http://ia.media-imdb.com/images/M/MV5BMTc0NTU5MjI2MV5BMl5BanBnXkFtZTcwMTg5NTQzMw@@._V1_SX400_.jpg
Michael Kohlhaas,2013,6.2,3764,"['Drama', 'History']","In the 16th century in the Cévennes, a horse dealer by the name of Michael Kohlhaas leads a happy family life. When a lord treats him unjustly, he raises an army and puts the country to fire and sword in order to have his rights restored.",['Arnaud des Pallières'],"['Mads Mikkelsen', 'Mélusine Mayance', 'Delphine Chuillot']",2013-05-24,7320,http://ia.media-imdb.com/images/M/MV5BMTM4MjM5MzA4OF5BMl5BanBnXkFtZTgwMzA1NjUzMDE@._V1_SX400_.jpg
Middle Men,2009,6.5,3715,"['Comedy', 'Crime', 'Drama']","Chronicles Jack Harris, one of the pioneers of internet commerce, as he wrestles with his morals and struggles not to drown in a sea of conmen, mobsters, drug addicts, and pornstars.",['George Gallo'],"['Luke Wilson', 'Giovanni Ribisi', 'Gabriel Macht']",2009-05-17,6300,http://ia.media-imdb.com/images/M/MV5BMTQ0OTAzNzY4MF5BMl5BanBnXkFtZTcwMzE4Nzc1Mw@@._V1_SX400_.jpg
Middle of the Night,1959,7.0,2336,['Drama'],,['Delbert Mann'],"['Fredric March', 'Kim Novak', 'Glenda Farrell']",1959-05-20,7080,http://ia.media-imdb.com/images/M/MV5BMjAwOTc4MDQ2N15BMl5BanBnXkFtZTYwNTEwODg5._V1_SX400_.jpg
Midnight Cowboy,1969,7.9,2372,['Drama'],A naive male prostitute and his sickly friend struggle to survive on the streets of New York City.,['John Schlesinger'],"['Dustin Hoffman', 'Jon Voight', 'Sylvia Miles']",1969-05-25,6780,http://ia.media-imdb.com/images/M/MV5BMTMzMjY1OTE5OV5BMl5BanBnXkFtZTcwMjUzNTk3NA@@._V1_SX400_.jpg
Midnight Express,1978,7.6,3135,"['Biography', 'Crime', 'Drama']","The true story of Billy Hayes, an American college student who is caught smuggling drugs out of Turkey and thrown into prison.",['Alan Parker'],"['Brad Davis', 'Irene Miracle', 'Bo Hopkins']",1978-05-18,7260,http://ia.media-imdb.com/images/M/MV5BMTcwODM0MjgyNV5BMl5BanBnXkFtZTcwNjg1MjEyMQ@@._V1_SX400_.jpg
Midnight Run,1988,7.5,3097,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","An accountant is chased by bounty hunters, the FBI, and the Mafia after jumping bail.",['Martin Brest'],"['Robert De Niro', 'Charles Grodin', 'Yaphet Kotto']",1988-07-11,7560,http://ia.media-imdb.com/images/M/MV5BMTg0MTg2NTgyM15BMl5BanBnXkFtZTcwMzI3ODMyMQ@@._V1_SX400_.jpg
Midnight in Paris,2011,7.7,424,"['Comedy', 'Fantasy', 'Romance']","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",['Woody Allen'],"['Owen Wilson', 'Rachel McAdams', 'Kathy Bates']",2011-05-11,6000,http://ia.media-imdb.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1_SX400_.jpg
Midnight in the Garden of Good and Evil,1997,6.5,3882,"['Crime', 'Drama', 'Mystery', 'Thriller']","A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",['Clint Eastwood'],"['John Cusack', 'Kevin Spacey', 'Jack Thompson']",1997-11-21,9300,http://ia.media-imdb.com/images/M/MV5BMjA2ODcyODM3NF5BMl5BanBnXkFtZTcwMzg2OTk0OQ@@._V1_SX400_.jpg
Midway,1976,6.6,4439,"['Action', 'Drama', 'History', 'War']",A dramatization of the battle that turned out to be the turning point of the Pacific Theatre of World War II.,['Jack Smight'],"['Charlton Heston', 'Henry Fonda', 'James Coburn']",1976-06-18,7920,http://ia.media-imdb.com/images/M/MV5BMTM2MzQ5NDMzNV5BMl5BanBnXkFtZTcwMTQ4MjUxMQ@@._V1_SX400_.jpg
Mientras duermes,2011,7.1,3109,"['Horror', 'Thriller']",You wake day after day to the comfort and security of your home. But how safe is it really?,['Jaume Balagueró'],"['Luis Tosar', 'Marta Etura', 'Alberto San Juan']",2011-09-23,6120,http://ia.media-imdb.com/images/M/MV5BMTA5NzA5MjY0NzBeQTJeQWpwZ15BbWU3MDEzNjMxNTc@._V1_SX400_.jpg
Mighty Morphin Power Rangers: The Movie,1995,4.3,2333,"['Action', 'Adventure', 'Family', 'Sci-Fi', 'Thriller']","After the Power Rangers have lost their supernatural power when trying to save their leader, they need help and receive it from a beautiful female fighter getting taught the art of Ninjetti. Thus they are able to fulfill their mission.",['Bryan Spicer'],"['Karan Ashley', 'Johnny Yong Bosch', 'Steve Cardenas']",1995-06-30,5700,http://ia.media-imdb.com/images/M/MV5BMjAyOTQyNzA5NV5BMl5BanBnXkFtZTcwMzM2MjkyMQ@@._V1_SX400_.jpg
Milk,2008,7.6,1761,"['Biography', 'Drama', 'History']","The story of Harvey Milk, and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.",['Gus Van Sant'],"['Sean Penn', 'Josh Brolin', 'Emile Hirsch']",2008-10-28,7680,http://ia.media-imdb.com/images/M/MV5BMTI2OTM5NjUzMV5BMl5BanBnXkFtZTcwMzY1MTM5MQ@@._V1_SX400_.jpg
Miller's Crossing,1990,7.9,2621,"['Crime', 'Drama', 'Thriller']","Tom Regan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.","['Joel Coen', 'Ethan Coen']","['Gabriel Byrne', 'Albert Finney', 'John Turturro']",1990-08-01,6900,http://ia.media-imdb.com/images/M/MV5BMTk2NDIxNzEyNF5BMl5BanBnXkFtZTYwMjk2NTk5._V1_SX400_.jpg
Million Dollar Baby,2004,8.1,441,"['Drama', 'Sport']",A determined woman works with a hardened boxing trainer to become a professional.,['Clint Eastwood'],"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman']",2004-12-15,7920,http://ia.media-imdb.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_SX400_.jpg
Mimic,1997,5.8,4358,"['Horror', 'Sci-Fi']","Three years ago entomologist Dr. Susan Tyler genetically created an insect to kill cockroaches carrying a virulent disease, now the insects are out to destroy their only predator, mankind!",['Guillermo del Toro'],"['Mira Sorvino', 'Jeremy Northam', 'Alexander Goodwin']",1997-06-01,6300,http://ia.media-imdb.com/images/M/MV5BMTg4NTIwMTE5M15BMl5BanBnXkFtZTcwMjkyMTMyMQ@@._V1_SX400_.jpg
Mindhunters,2004,6.2,3010,"['Crime', 'Mystery', 'Thriller']",Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,['Renny Harlin'],"['Val Kilmer', 'LL Cool J', 'Christian Slater']",2004-03-19,6360,http://ia.media-imdb.com/images/M/MV5BMTAwOTY3NDM1NjNeQTJeQWpwZ15BbWU3MDEzMjU1MjE@._V1_SX400_.jpg
Minions,2014,0.0,2313,"['Animation', 'Comedy', 'Family']","Gru is recruited by an organization to stop Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","['Kyle Balda', 'Pierre Coffin']","['Chris Renaud', 'Pierre Coffin', 'Sandra Bullock']",2015-07-10,0,
Minority Report,2002,7.6,1135,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",['Steven Spielberg'],"['Tom Cruise', 'Colin Farrell', 'Samantha Morton']",2002-06-17,8700,http://ia.media-imdb.com/images/M/MV5BMTc1NDI5NzQyNF5BMl5BanBnXkFtZTYwMjc4NTE5._V1_SX400_.jpg
Miracle,2004,7.3,2770,"['Drama', 'Family', 'History', 'Sport']","Miracle tells the true story of Herb Brooks (Russell), the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Russian squad.","[""Gavin O'Connor""]","['Kurt Russell', 'Patricia Clarkson', 'Nathan West']",2004-02-02,8100,http://ia.media-imdb.com/images/M/MV5BMjEyOTk1OTcyNV5BMl5BanBnXkFtZTYwNjMzNDU3._V1_SX400_.jpg
Miracle at St. Anna,2008,5.9,4432,"['Action', 'Crime', 'Drama', 'Thriller', 'War']","Set in 1944 Italy, the story of four black American soldiers who get trapped in a Tuscan village during WWII.",['Spike Lee'],"['Derek Luke', 'Michael Ealy', 'Laz Alonso']",2008-09-07,9600,http://ia.media-imdb.com/images/M/MV5BMTIyNjIwOTI1MF5BMl5BanBnXkFtZTcwMTQ1NTU3MQ@@._V1_SX400_.jpg
Mirror Mirror,2012,5.5,765,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,['Tarsem Singh'],"['Lily Collins', 'Julia Roberts', 'Armie Hammer']",2012-03-15,6360,http://ia.media-imdb.com/images/M/MV5BMTExMjU4MTUwNTVeQTJeQWpwZ15BbWU3MDk2MzkwMjc@._V1_SX400_.jpg
Mirrors,2008,6.0,1941,"['Horror', 'Mystery', 'Thriller']",An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,['Alexandre Aja'],"['Kiefer Sutherland', 'Paula Patton', 'Amy Smart']",2008-08-14,6600,http://ia.media-imdb.com/images/M/MV5BMTI2NTA1ODEyOF5BMl5BanBnXkFtZTcwNjc3MjY3MQ@@._V1_SX400_.jpg
Misery,1990,7.8,1160,"['Drama', 'Thriller']","A famous novelist is ""rescued"" from a car crash by an obsessed fan.",['Rob Reiner'],"['James Caan', 'Kathy Bates', 'Richard Farnsworth']",1990-11-30,6420,http://ia.media-imdb.com/images/M/MV5BMTMzOTcxMDI3MV5BMl5BanBnXkFtZTcwNDYyODI1NA@@._V1_SX400_.jpg
Miss Bala,2011,6.4,4890,"['Crime', 'Drama', 'Thriller']","After entering a beauty contest in Tijuana, a young woman witnesses drug-related murders and is forced to do the gang's bidding.",['Gerardo Naranjo'],"['Stephanie Sigman', 'Irene Azuela', 'Jose Yenque']",2011-05-13,6780,http://ia.media-imdb.com/images/M/MV5BMjIyMTY1NTg1Nl5BMl5BanBnXkFtZTcwMjU1OTIyNw@@._V1_SX400_.jpg
Miss Congeniality,2000,6.0,1818,"['Action', 'Comedy', 'Crime']",An FBI agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,['Donald Petrie'],"['Sandra Bullock', 'Michael Caine', 'Benjamin Bratt']",2000-12-14,6540,http://ia.media-imdb.com/images/M/MV5BNzA5NTAwNDc4MF5BMl5BanBnXkFtZTYwNzM0OTg4._V1_SX400_.jpg
Miss Congeniality 2: Armed and Fabulous,2005,4.7,3840,"['Action', 'Comedy', 'Crime']","After Cheryl Frasier and Stan Fields are kidnapped, Gracie goes undercover in Las Vegas to find them.",['John Pasquin'],"['Sandra Bullock', 'Regina King', 'William Shatner']",2005-03-11,6900,http://ia.media-imdb.com/images/M/MV5BMjAxNzk2OTI2OV5BMl5BanBnXkFtZTcwODk0MDIzMw@@._V1_SX400_.jpg
Miss March,2009,4.8,3488,"['Comedy', 'Romance']",,"['Zach Cregger', 'Trevor Moore']","['Zach Cregger', 'Trevor Moore', 'Raquel Alessi']",2009-03-13,5400,http://ia.media-imdb.com/images/M/MV5BMTY0MDg5NzY1N15BMl5BanBnXkFtZTcwMDYyNjUyMg@@._V1_SX400_.jpg
Miss Pettigrew Lives for a Day,2008,6.9,4170,"['Comedy', 'Romance']","Guinevere Pettigrew, a middle-aged London governess, finds herself unfairly dismissed from her job. An attempt to gain new employment catapults her into the glamorous world and dizzying social whirl of an American actress and singer, Delysia Lafosse.",['Bharat Nalluri'],"['Frances McDormand', 'Amy Adams', 'Ciarán Hinds']",2008-03-07,5520,http://ia.media-imdb.com/images/M/MV5BMTI3NDcyMzcxNl5BMl5BanBnXkFtZTcwMTA0MzU1MQ@@._V1_SX400_.jpg
Mission to Mars,2000,5.4,3286,"['Adventure', 'Drama', 'Sci-Fi', 'Thriller']","When the first manned mission to Mars meets with a catastrophic and mysterious disaster, a rescue mission is launched to investigate the tragedy and bring back any survivors.",['Brian De Palma'],"['Tim Robbins', 'Gary Sinise', 'Don Cheadle']",2000-03-06,6840,http://ia.media-imdb.com/images/M/MV5BMTIyODE4NjI2Nl5BMl5BanBnXkFtZTcwODg4MjMyMQ@@._V1_SX400_.jpg
Mission: Blacklist,2014,0.0,4738,['Thriller'],,['Jesper Ganslandt'],['Robert Pattinson'],2014-01-01,0,http://ia.media-imdb.com/images/M/MV5BMjA2OTc1OTM2NF5BMl5BanBnXkFtZTcwMzgxNTA4Nw@@._V1_SX400_.jpg
Mission: Impossible,1996,7.0,1572,"['Action', 'Adventure', 'Thriller']","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",['Brian De Palma'],"['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart']",1996-05-22,6600,http://ia.media-imdb.com/images/M/MV5BMTAyMTY0NjY1NTdeQTJeQWpwZ15BbWU3MDI5MjgxNjk@._V1_SX400_.jpg
Mission: Impossible - Ghost Protocol,2011,7.3,490,"['Action', 'Thriller']","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",['Brad Bird'],"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg']",2011-12-07,7980,http://ia.media-imdb.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX400_.jpg
Mission: Impossible 5,0,0.0,2144,"['Action', 'Adventure', 'Thriller']",,['Christopher McQuarrie'],"['Paula Patton', 'Tom Cruise', 'Jeremy Renner']",NaT,0,
Mission: Impossible II,2000,5.9,2127,"['Action', 'Adventure', 'Thriller']","A secret agent is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera""",['John Woo'],"['Tom Cruise', 'Dougray Scott', 'Thandie Newton']",2000-05-24,7380,http://ia.media-imdb.com/images/M/MV5BODI4Mzk0NDU0NF5BMl5BanBnXkFtZTcwNTczODQwNA@@._V1_SX400_.jpg
Mission: Impossible III,2006,6.8,740,"['Action', 'Adventure', 'Thriller']",Ethan Hunt comes face to face with a dangerous and sadistic arms dealer while trying to keep his identity secret in order to protect his girlfriend.,['J.J. Abrams'],"['Tom Cruise', 'Michelle Monaghan', 'Ving Rhames']",2006-04-24,7560,http://ia.media-imdb.com/images/M/MV5BMjExMDY1MTI5MF5BMl5BanBnXkFtZTcwNDE2NTQzMw@@._V1_SX400_.jpg
Mississippi Burning,1988,7.8,3413,"['Drama', 'Mystery', 'Thriller']",Two FBI agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,['Alan Parker'],"['Gene Hackman', 'Willem Dafoe', 'Frances McDormand']",1988-12-09,7680,http://ia.media-imdb.com/images/M/MV5BMTM3MzA2MjQwNl5BMl5BanBnXkFtZTcwNjkzNzA2NA@@._V1_SX400_.jpg
Moby Dick,1956,7.3,4978,"['Adventure', 'Drama']","The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick.",['John Huston'],"['Gregory Peck', 'Richard Basehart', 'Leo Genn']",1956-06-27,6960,http://ia.media-imdb.com/images/M/MV5BMTMwOTA2MjU5N15BMl5BanBnXkFtZTcwMDYzODI1NA@@._V1_SX400_.jpg
Modern Times,1936,8.6,2238,"['Comedy', 'Drama']",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']",1936-02-05,5220,http://ia.media-imdb.com/images/M/MV5BMjMwMDA5NzEwOF5BMl5BanBnXkFtZTcwMzgwNDg3OA@@._V1_SX400_.jpg
Mommie Dearest,1981,6.3,4876,"['Biography', 'Drama']","Mommie Dearest, best selling memoir, turned motion picture, depicts the abusive and traumatic adoptive upbringing of Christina Crawford at the hands of her mother...screen queen Joan Crawford.",['Frank Perry'],"['Faye Dunaway', 'Diana Scarwid', 'Steve Forrest']",1981-09-16,7740,http://ia.media-imdb.com/images/M/MV5BMTczMDI5NDEwNl5BMl5BanBnXkFtZTcwNTc4NzIzMQ@@._V1_SX400_.jpg
Mona Lisa Smile,2003,6.2,2602,['Drama'],A free-thinking art professor teaches conservative 50's Wellesley girls to question their traditional societal roles.,['Mike Newell'],"['Julia Roberts', 'Kirsten Dunst', 'Julia Stiles']",2003-12-19,7020,http://ia.media-imdb.com/images/M/MV5BMTI0NjEwNDgwOV5BMl5BanBnXkFtZTYwOTI1NTA3._V1_SX400_.jpg
Money Talks,1997,5.8,4302,"['Action', 'Comedy', 'Crime', 'Thriller']","Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",['Brett Ratner'],"['Charlie Sheen', 'Chris Tucker', 'Heather Locklear']",1997-08-22,5820,http://ia.media-imdb.com/images/M/MV5BMTIzNzU5Mzk1OV5BMl5BanBnXkFtZTcwMjIyMTIyMQ@@._V1_SX400_.jpg
Moneyball,2011,7.6,193,"['Biography', 'Drama', 'Sport']",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,['Bennett Miller'],"['Brad Pitt', 'Robin Wright', 'Jonah Hill']",2011-09-09,7980,http://ia.media-imdb.com/images/M/MV5BMjAxOTU3Mzc1M15BMl5BanBnXkFtZTcwMzk1ODUzNg@@._V1_SX400_.jpg
Monica Z,2013,7.3,4957,"['Biography', 'Drama', 'Music']","Ambitious singer must struggle with her musical career, her love life and to bring up her daughter by herself.",['Per Fly'],"['Edda Magnason', 'Sverrir Gudnason', 'Kjell Bergqvist']",2013-09-13,0,http://ia.media-imdb.com/images/M/MV5BODA5NzUyNDA0M15BMl5BanBnXkFtZTgwODY5MjQwMDE@._V1_SX400_.jpg
